ID,SL_AVE,SL_LIST,alive,lp_AVE,lp_LIST,mapping::countCopy,mapping::countDelete,mapping::countIndel,mapping::countPoint,mapping::countPointOffset,mapping::genomeLength,optimizeValue_0,optimizeValue_1,order::countCopy,order::countDelete,order::countIndel,order::countPoint,order::countPointOffset,order::genomeLength,score_AVE,score_LIST,timeOfBirth,update
0,28272.281146,"28272.281146",1,0.000525,"0.000525",0,0,0,0,0,200,0.000035,0.000525,0,0,0,0,0,200,0.000035,"0.000035",-1,0
2655,18420.854419,"18420.854419",1,0.000555,"0.000555",0,0,0,10,0,200,0.000054,0.000555,0,0,0,5,0,200,0.000054,"0.000054",9,10
5241,13972.857396,"13972.857396",1,0.000555,"0.000555",0,0,0,5,0,200,0.000072,0.000555,0,0,0,4,0,200,0.000072,"0.000072",19,20
7682,13814.483407,"13814.483407",1,0.000555,"0.000555",0,0,0,4,0,200,0.000072,0.000555,0,0,0,7,0,200,0.000072,"0.000072",29,30
10093,13676.066337,"13676.066337",1,0.000555,"0.000555",0,0,0,7,0,200,0.000073,0.000555,0,0,0,4,0,200,0.000073,"0.000073",39,40
12697,13598.895085,"13598.895085",1,0.000555,"0.000555",0,0,0,5,0,200,0.000074,0.000555,0,0,0,7,0,200,0.000074,"0.000074",49,50
15077,13549.015506,"13549.015506",1,0.000555,"0.000555",0,0,0,3,0,200,0.000074,0.000555,0,0,0,3,0,200,0.000074,"0.000074",59,60
17736,13536.161767,"13536.161767",1,0.000555,"0.000555",0,0,0,4,0,200,0.000074,0.000555,0,0,0,5,0,200,0.000074,"0.000074",69,70
20083,13544.743963,"13544.743963",1,0.000555,"0.000555",0,0,0,3,0,200,0.000074,0.000555,0,0,0,5,0,200,0.000074,"0.000074",79,80
